name,age,gender,salary,retirement_age,marital_status,state_of_residence,health_risk_score,salary_growth_rate,salary_risk_score,pensions,annuities,social_security_benefit,spouse_age,spouse_gender,spouse_retirement_age,spouse_salary,spouse_wealth,spouse_social_security_benefit,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,recommended_retirement_age,goal_end_age,sustainable_income,current_equity,five_years_before_equity,at_retirement_equity,five_years_after_retirement_equity,current_wealth,five_years_before_wealth,at_retirement_wealth,five_years_after_retirement_wealth,recommended_account1_name,recommended_account1_pre_tax_contrib,recommended_account1_roth_contrib,recommended_account1_post_tax_contrib,recommended_account1_taxable_contrib,recommended_account2_name,recommended_account2_pre_tax_contrib,recommended_account2_roth_contrib,recommended_account2_post_tax_contrib,recommended_account2_taxable_contrib,recommended_account3_name,recommended_account3_pre_tax_contrib,recommended_account3_roth_contrib,recommended_account3_post_tax_contrib,recommended_account3_taxable_contrib,recommended_account4_name,recommended_account4_pre_tax_contrib,recommended_account4_roth_contrib,recommended_account4_post_tax_contrib,recommended_account4_taxable_contrib,recommended_account5_name,recommended_account5_pre_tax_contrib,recommended_account5_roth_contrib,recommended_account5_post_tax_contrib,recommended_account5_taxable_contrib,recommended_account6_name,recommended_account6_pre_tax_contrib,recommended_account6_roth_contrib,recommended_account6_post_tax_contrib,recommended_account6_taxable_contrib,recommended_account7_name,recommended_account7_pre_tax_contrib,recommended_account7_roth_contrib,recommended_account7_post_tax_contrib,recommended_account7_taxable_contrib,recommended_account8_name,recommended_account8_pre_tax_contrib,recommended_account8_roth_contrib,recommended_account8_post_tax_contrib,recommended_account8_taxable_contrib,recommended_account9_name,recommended_account9_pre_tax_contrib,recommended_account9_roth_contrib,recommended_account9_post_tax_contrib,recommended_account9_taxable_contrib,recommended_account10_name,recommended_account10_pre_tax_contrib,recommended_account10_roth_contrib,recommended_account10_post_tax_contrib,recommended_account10_taxable_contrib,recommended_account11_name,recommended_account11_pre_tax_contrib,recommended_account11_roth_contrib,recommended_account11_post_tax_contrib,recommended_account11_taxable_contrib,recommended_account12_name,recommended_account12_pre_tax_contrib,recommended_account12_roth_contrib,recommended_account12_post_tax_contrib,recommended_account12_taxable_contrib
637,60,M,50000,64,TRUE,IL,0.4,0.005,-1,0,0,17558.4,56,F,65,35000,0,12003.6,1073_roth_ira,14219.73883,0,0,0,0,1074_traditional_ira,497885.2258,0,0,0,0,1174_401k,27104.66806,$660.00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,98,52307.57471,0.6179284,,0.5066139,0.4604275,539209.6327,,575965.8691,477567.1417,Advice::Portfolio_83,0,0,0,0,ManualAccountPortfolio_1174,0.0936,0,0,0,Advice::Portfolio_82,0,0,0,0,Advice::Portfolio_81,0,0.0564,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,59,M,235000,66,TRUE,VA,0.8,0.02,-0.5,95000,0,31606.4,57,F,65,0,0,0,819_traditional_ira,155991.7264,0,0,0,0,992_401k,18468.2606,"$1,850.00",0,0,0,993_roth_ira,384522.6859,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,98,153508.3823,0.675548,0.640116,0.5442945,0.4764445,558982.6729,782280.6261,1456308.863,1226974.667,Advice::Portfolio_59,0,0,0,0,ManualAccountPortfolio_992,0.0765957,0,0,0,Advice::Portfolio_58,0.0175,0,0,0,Advice::Portfolio_11328,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,61,M,120000,65,FALSE,PA,0.4,0.015,-0.5,0,0,33780,,,,,,,873_traditional_ira,181070.8648,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,92,45056.62301,0.5827324,0.5705629,0.4671616,0.4162956,181070.8648,184927.2072,228851.1488,195559.8905,Advice::Portfolio_38,0,0,0,0,Advice::Portfolio_37,0.0541667,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,65,M,300000,65,FALSE,CO,0.4,0.01,-0.5,0,0,30385.6,,,,,,,874_traditional_ira,140331.1438,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,92,36335.40417,0.5733298,,0.5733298,0.5049,140331.1438,,140331.1438,109063.2186,Advice::Portfolio_40,0,0,0,0,Advice::Portfolio_39,0.0216667,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,69,F,96000,67,TRUE,MO,0,0.01,-1,0,0,31920.48,68,M,65,1,0,14778,896_traditional_ira,149336.6665,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,93,54006.12796,0.4820687,,,0.4523176,149336.6665,,,123504.6197,Advice::Portfolio_44,0,0,0,0,Advice::Portfolio_43,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,58,F,120000,56,FALSE,FL,0.4,0.015,-1,0,0,23738.4,,,,,,,903_403b,654496.6719,0,0,0,0,904_checking,40008.74699,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,94,44577.95496,0.524925,,,0.5118515,694505.4189,,,554352.7445,ManualAccountPortfolio_904,0,0,0,0,Advice::Portfolio_50,0,0,0,0,Advice::Portfolio_49,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,55,F,200000,65,FALSE,KS,0.4,0.02,-1,0,0,34008,,,,,,,914_traditional_ira,53528.35704,0,0,0,0,915_401k,188649.6789,0,0,0,0,916_profit_sharing,5013.111897,0,0,0,0,917_traditional_ira,106696.2493,0,0,0,0,918_checking,80017.49399,0,0,0,0,919_403b,3200.887478,"$12,000.00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,94,68781.92232,0.7284273,0.5893941,0.4663696,0.4163259,437105.7786,678142.4378,946884.0891,835267.8005,ManualAccountPortfolio_918,0,0,0,0,Advice::Portfolio_53,0,0,0,0,ManualAccountPortfolio_917,0,0,0,0,ManualAccountPortfolio_919,0.06,0,0,0,Advice::Portfolio_52,0.0325,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,66,M,100000,65,TRUE,MI,0.4,0.02,-1,34000,35000,28560,65,F,65,0,0,12750,953_traditional_ira,318270.6776,0,0,0,0,954_non_qualified_defined_contribution,1200,0,0,0,0,1057_brokerage,410089.6567,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,95,102154.1468,0.5287466,,,0.4799913,729560.3343,,,636718.9422,ManualAccountPortfolio_1057,0,0,0,0,Advice::Portfolio_61,0,0,0,0,AutomaticAccountPortfolio_954,0,0,0,0,Advice::Portfolio_60,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,68,F,41000,67,TRUE,NJ,0,0.01,-1,0,0,19530.72,69,M,65,40000,0,20866.08,962_traditional_ira,331003.6369,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,93,55645.3798,0.4643771,,,0.4246263,331003.6369,,,267202.3554,Advice::Portfolio_55,0,0,0,0,Advice::Portfolio_54,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,55,F,30000,65,TRUE,AR,0.4,0.01,-0.5,0,0,10886.4,54,M,65,100000,0,22033.2,983_traditional_ira,232887.5464,0,0,0,0,984_checking,35007.65362,0,0,0,0,985_brokerage,758923.1289,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,94,82264.22659,0.6994905,0.6615358,0.505201,0.4653374,1026818.329,996068.1425,1084049.046,1012374.629,ManualAccountPortfolio_984,0,0,0,0,ManualAccountPortfolio_985,0,0,0,0,Advice::Portfolio_57,0,0,0,0,Advice::Portfolio_56,0.15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
